make,model,year,price,mileage,overall_rating,complaint_count,reliability_score,age,depreciation_rate,fuel_type,engine,transmission,accident,clean_title
TESLA,MODEL X BASE,2023,85000.0,197.0,3.0,0.0,1.0,1,0.15,,670.0HP Electric Motor Electric Fuel System,A/T,None reported,Yes
CADILLAC,CT4 LUXURY,2020,28500.0,35200.0,3.0,1.0,0.9993178717598908,4,0.6,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,Yes
MASERATI,GHIBLI S Q4,2014,19000.0,76000.0,3.0,0.0,1.0,10,1.5,Gasoline,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,None reported,Yes
JAGUAR,F-PACE 25T PREMIUM,2019,34500.0,29000.0,3.0,0.0,1.0,5,0.75,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,Yes
BMW,750 I XDRIVE,2019,44495.0,33499.0,3.0,0.0,1.0,5,0.75,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,Yes
ACURA,TLX V6 ADVANCE,2019,30999.0,25779.0,3.0,0.0,1.0,5,0.75,Gasoline,3.5L V6 24V GDI SOHC,9-Speed Automatic,At least 1 accident or damage reported,
GMC,TERRAIN SLT-1,2015,9500.0,76296.0,3.0,0.0,1.0,9,1.35,Gasoline,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,Yes
BMW,I3 BASE W/RANGE EXTENDER,2014,12800.0,29553.0,3.0,0.0,1.0,10,1.5,,170.0HP 0.65L Electric Motor Electric Fuel System,1-Speed A/T,None reported,Yes
NISSAN,VERSA 1.8 S,2011,4500.0,109902.0,3.0,0.0,1.0,13,1.95,Gasoline,122.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,Yes
MERCEDES-BENZ,C-CLASS C 300 4MATIC,2019,33500.0,23083.0,3.0,0.0,1.0,5,0.75,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,None reported,Yes
TOYOTA,MATRIX XRS,2003,4199.0,143600.0,3.0,0.0,1.0,21,3.15,Gasoline,180.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,Yes
RAM,1500 LIMITED,2021,54800.0,22000.0,5.0,214.0,0.8540245566166439,3,0.4499999999999999,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None reported,Yes
MERCEDES-BENZ,AMG E 53 BASE 4MATIC,2022,81500.0,13000.0,3.0,0.0,1.0,2,0.3,Hybrid,429.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,None reported,Yes
AUDI,A5 2.0T PREMIUM,2018,28000.0,53000.0,3.0,0.0,1.0,6,0.8999999999999999,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,Yes
LINCOLN,NAVIGATOR RESERVE,2019,52999.0,44741.0,3.0,0.0,1.0,5,0.75,Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,None reported,Yes
AUDI,A6 3.2 QUATTRO,2008,5700.0,202000.0,3.0,0.0,1.0,16,2.4,Gasoline,255.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,Yes
CHEVROLET,SILVERADO 1500 LT CREW CAB,2006,6995.0,215000.0,3.0,0.0,1.0,18,2.6999999999999997,Gasoline,345.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,Yes
MERCEDES-BENZ,S-CLASS S 560,2019,49998.0,77138.0,3.0,0.0,1.0,5,0.75,Gasoline,4.0 Liter,Automatic,None reported,
VOLVO,XC90 T6 MOMENTUM,2018,25999.0,90641.0,5.0,0.0,1.0,6,0.8999999999999999,Gasoline,2.0L I4 16V GDI DOHC,8-Speed Automatic,None reported,
TOYOTA,CAMRY SE,2011,7700.0,177702.0,3.0,0.0,1.0,13,1.95,Gasoline,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,Yes
MERCEDES-BENZ,METRIS BASE,2018,29497.0,58350.0,3.0,4.0,0.9972714870395636,6,0.8999999999999999,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,None reported,Yes
CHEVROLET,CAMARO 2LT,2010,17000.0,86170.0,3.0,0.0,1.0,14,2.1,Gasoline,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,At least 1 accident or damage reported,Yes
MAZDA,MX-5 MIATA GRAND TOURING,2012,20199.0,36568.0,3.0,0.0,1.0,12,1.7999999999999998,Gasoline,167.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,At least 1 accident or damage reported,Yes
FORD,ESCAPE SE,2015,16250.0,54357.0,4.0,0.0,1.0,9,1.35,Gasoline,173.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None reported,Yes
MERCEDES-BENZ,S-CLASS S 63 AMG,2015,59598.0,20394.0,3.0,0.0,1.0,9,1.35,Gasoline,5.5 Liter,Automatic,At least 1 accident or damage reported,
KIA,NIRO EX,2023,31113.0,7578.0,5.0,0.0,1.0,1,0.15,Hybrid,1.6L I4 16V GDI DOHC Hybrid,Automatic,None reported,
PORSCHE,BOXSTER BASE,2010,20900.0,64800.0,3.0,0.0,1.0,14,2.1,Gasoline,255.0HP 2.9L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,At least 1 accident or damage reported,Yes
